keyword,post_id,post_title,comment_id,content,comment_time,like_count,user_id,user_name,ip_location,parent_comment_id,platform,event
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ce21d9000000003103338a,如何呢     又能怎    是我这辈子最不喜欢的词,2026/04/02 15:59,309,5acb9d29e8ac2b30a57dbade,简 养,内蒙古,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69cd22d60000000002034115,李荣浩还是太善良了,2026/04/01 21:51,93,609930c00000000001002498,臭脾气,宁夏,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69cbdd7f0000000015017819,没吃药吧,2026/03/31 22:43,41,611738a2000000000100b935,荔枝,山东,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69d78fce000000000d035351,感觉单 有些飘了…………搞不清地位,2026/04/09 19:38,27,699a8c93000000001c03642c,小熊🐻（萤火虫接妆）,广东,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,6a018819000000002b00255b,天呐，我居然听成了 睡了又能怎[哭惹R][哭惹R][哭惹R],2026/05/11 15:41,0,5bcb18d00e570700014282e6,momo,内蒙古,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,6a06a711000000002b027a57,单依纯都说了，自己把他这个李白的这个歌传给了主办方，是主办方没有弄好，而且一般歌手都不会检查的，这也不能完全怪他。,2026/05/15 12:54,0,6007d42700000000010048e1,花溪,安徽,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69d49110000000001500eb06,那些说好听的，可能家里人人都是这动静[微笑R],2026/04/07 13:07,7,598d7c2a82ec3927bb7a3658,momo,四川,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69fd33270000000027021dfb,李荣浩太体面啦,2026/05/08 08:49,0,583ad60f3460941fb73be697,猫小懒,广东,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69dbae080000000035023381,得了灰指甲…1个传染俩[哭惹R],2026/04/12 22:36,3,5ab122d0e8ac2b64ecc640f3,翰宝舆糊胡涂涂胡蘿蔔🥕（一起站高高小底迪）,山西,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69cbda46000000000503b193,好好的一首歌整这样,2026/03/31 22:29,29,5db469f40000000001006557,没有什么大不了,福建,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69d63a7b000000000d012457,前面有前辈帮他的时候，他还反咬一口，把最差的票投给帮他的那个人了,2026/04/08 19:22,7,621f8869000000001000f84a,筱妍雪.,四川,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69e810cc000000001401e402,改编后的实在听不了,2026/04/22 08:05,2,5b5bbfe6e8ac2b795ad407f9,喵～～,江苏,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69d899680000000014033986,演唱会版本,2026/04/10 14:32,0,6299dd52000000002102a381,小红薯629B3A54,四川,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69d049e1000000000301393c,额……,2026/04/04 07:14,0,6140aebf00000000020248df,momo,湖南,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69cc75b40000000018020776,李健痛心啊，好好的弟子，走歪了,2026/04/01 09:32,20,6710d2b7000000000b031c24,可儿爱山西,山西,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ca68d0000000000c0324ad,已经变本啦,2026/03/30 20:13,10,5af58ab7e8ac2b7ae517efc1,米饭团洁,浙江,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69db8e79000000003502e1d1,这件事情小单没什么大错，主要的错误不在她,2026/04/12 20:22,0,691346c600000000320175cf,徐纸佩＿zipei,山东,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69da8a5f000000000d03ec02,就是好听,2026/04/12 01:52,0,66a3968e000000001d02209c,果果呀,广东,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ca6f87000000000f026d0e,卧槽了,2026/03/30 20:41,0,6455d986000000002a0084c5,不懂,浙江,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ca42c9000000000c0319b8,贞子来了,2026/03/30 17:30,26,653471dd000000000d0042c0,Magic77,上海,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69d217770000000005038b2b,一下得罪了游戏圈和文化圈[汗颜R],2026/04/05 16:04,0,5fc3033d0000000001005241,希城花粥own品客,江苏,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69cdedd50000000016015ef8,抄左團體吧,2026/04/02 12:17,0,602e81930000000001007093,Pigskin,中国香港,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ca7977000000000203642b,会晃？,2026/03/30 21:24,0,5cbc821b00000000160126c6,小红薯20465837,上海,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ce21a400000000310014bb,飘了,2026/04/02 15:58,0,5acb9d29e8ac2b30a57dbade,简 养,内蒙古,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,6a032940000000002702ed5e,感觉以前唱歌好空灵好好听。现在唱的太妖魅了，还带那股劲，懂吧，别骂我！越来越听不懂了[笑哭R],2026/05/12 21:21,0,5b708d692c1b7e0001fbe8d7,🍓团子洛洛,云南,0,xiaohongshu,单依纯李荣浩版权争议
单依纯 李荣浩,69ca060d000000002102cc9f,李荣浩硬气拒赔：要钱早授权了！,69ca9815000000000d010aa3,封杀 什么玩意儿,2026/03/30 23:34,24,610563a2000000000101405e,人生和电影不同,北京,0,xiaohongshu,单依纯李荣浩版权争议
